Date, Instance, Algorithm, RandSeed, Duration, IterCount, GenerationCount, Optima, Solution
2014-11-06 Thu 16:01:45, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=10), 1415260904, 0.724, 700000, 6, 0, 1 4 2 3 0 1 1 4 2 0 0 1 1 4 1 2 3 0 2 2 0 1 3 2 3 4 3 4 4 2 2 3 3 4 3 4 2 4 3 0 0 0 2 2 0 2 3 1 3 4 2 0 3 2 0 0 3 2 4 4 1 1 1 1 3 3 4 4 0 0 1 2 0 1 2 1 3 1 2 2 1 3 3 4 4 0 3 3 3 4 0 2 2 2 0 4 1 0 2 3 0 1 2 0 1 4 4 4 3 2 4 4 0 4 0 0 1 1 3 4 4 1 4 4 0 
2014-11-06 Thu 16:01:48, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=10), 1415260907, 0.498, 500000, 4, 0, 1 0 1 1 4 1 3 2 4 0 2 1 3 1 3 4 1 3 1 2 4 4 2 1 4 3 2 2 4 0 4 4 1 2 0 1 2 2 1 4 2 0 2 0 0 2 4 3 3 3 4 0 4 0 1 4 4 4 1 2 3 3 3 2 0 0 3 1 2 0 1 2 0 3 4 2 0 1 4 4 1 0 4 2 3 2 3 4 1 1 0 1 2 3 4 1 3 0 0 2 1 4 3 1 3 1 1 1 3 4 1 2 0 2 0 4 2 1 0 3 3 3 0 0 1 
2014-11-06 Thu 16:01:50, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=10), 1415260910, 0.399, 300000, 2, 0, 3 2 3 2 0 3 0 0 1 4 1 3 2 3 2 2 3 0 2 4 2 1 0 3 2 3 4 0 4 3 3 4 3 1 1 3 3 1 2 1 4 1 0 4 4 0 1 0 2 2 2 4 2 2 3 2 1 1 4 0 0 1 0 0 4 4 2 3 1 2 3 0 4 1 2 2 2 3 4 1 3 4 0 4 0 2 1 0 3 3 4 3 1 4 1 3 0 1 0 2 3 0 2 4 3 3 3 3 0 1 3 0 4 3 4 0 0 3 4 2 2 0 4 2 4 
2014-11-06 Thu 16:01:53, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=10), 1415260912, 0.356, 400000, 3, 0, 1 0 1 0 2 3 1 1 1 0 3 1 4 0 4 2 1 2 0 2 2 0 1 1 3 3 4 4 4 3 1 1 4 4 3 1 2 4 1 1 4 4 2 3 3 2 0 3 4 3 2 2 2 2 1 2 4 3 3 3 4 4 0 2 0 3 4 1 1 3 4 2 0 0 1 4 0 0 3 3 1 4 0 3 4 2 1 0 1 1 4 3 2 0 1 2 4 3 3 2 2 0 2 1 4 1 1 1 0 2 0 4 3 1 4 2 1 1 0 2 0 0 4 3 1 
2014-11-06 Thu 16:01:55, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=10), 1415260915, 0.638, 600000, 5, 0, 1 2 4 4 3 4 4 3 2 0 4 4 4 1 1 3 4 2 0 3 2 2 1 4 2 4 1 1 2 4 4 1 2 3 2 4 0 0 2 3 1 1 3 0 0 3 1 2 1 3 3 3 3 3 0 3 2 2 4 0 0 2 1 3 1 4 3 0 0 2 0 0 1 0 0 0 1 4 3 2 4 1 1 0 0 3 4 3 4 1 1 4 3 3 2 3 4 2 2 3 3 2 2 4 0 0 4 0 2 2 1 0 2 4 0 2 0 4 1 3 0 2 0 4 4 
2014-11-06 Thu 16:01:58, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=10), 1415260917, 0.701, 700000, 6, 0, 1 2 1 1 3 1 3 3 4 0 4 1 0 2 2 3 1 4 1 0 0 3 1 4 2 1 3 2 0 0 1 3 1 4 0 1 4 2 2 3 2 0 2 2 0 3 4 3 3 0 4 0 4 4 1 3 4 4 2 2 3 2 3 3 2 0 2 1 4 0 0 0 2 3 3 1 0 1 0 4 1 2 3 2 4 0 4 3 1 1 2 4 4 3 1 1 3 2 2 0 1 3 0 2 0 1 1 1 0 4 1 2 3 0 2 4 3 1 2 0 2 3 2 2 1 
2014-11-06 Thu 17:00:23, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=10), 1415264422, 0.608, 800000, 7, 0, 1 1 3 1 2 0 3 3 3 1 2 3 3 1 1 0 3 0 0 0 1 4 1 0 0 3 4 1 4 4 0 4 4 1 4 3 0 2 4 2 2 2 0 0 4 2 1 2 1 3 0 0 3 0 4 1 2 2 3 4 4 2 1 0 4 4 3 2 2 2 3 0 1 2 3 3 1 3 0 4 3 1 1 4 1 0 4 4 3 1 1 3 0 0 2 0 3 2 0 0 0 1 0 4 2 3 3 3 1 0 1 1 2 3 4 0 2 3 1 2 1 1 2 3 3 
2014-11-06 Thu 17:00:26, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=10), 1415264426, 0.858, 1000000, 9, 0, 3 3 2 3 0 4 2 4 0 4 4 2 2 3 3 0 2 3 1 4 1 4 3 0 1 2 0 3 4 4 1 0 0 3 4 2 0 0 1 4 3 3 1 4 4 0 3 4 3 2 1 1 1 1 4 1 0 0 2 2 4 3 3 1 3 4 2 0 0 4 2 0 3 0 2 2 3 2 4 4 2 3 3 4 2 1 1 1 2 0 3 2 1 3 1 1 2 4 4 1 1 0 1 1 2 2 2 2 3 0 2 3 4 2 4 1 0 2 3 2 3 0 0 1 1 
2014-11-06 Thu 17:00:29, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=10), 1415264428, 0.458, 600000, 5, 0, 1 0 4 4 2 4 3 2 3 1 2 0 3 0 0 4 1 3 4 4 1 4 2 4 3 0 1 0 0 3 3 4 3 1 3 0 2 0 3 3 0 1 4 0 2 4 2 3 1 3 4 2 4 1 2 2 1 0 0 3 4 3 1 3 4 1 0 0 2 2 1 1 2 2 2 1 1 3 4 4 3 1 4 0 1 2 3 3 1 1 2 4 1 4 2 0 3 0 0 2 2 3 3 0 1 0 0 2 1 4 1 2 3 2 0 2 2 3 4 3 0 3 0 0 2 
2014-11-06 Thu 17:03:00, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=10), 1415264579, 0.378, 500000, 4, 0, 0 1 0 1 2 2 3 4 3 1 4 3 3 1 1 0 3 2 0 2 2 2 1 0 2 3 0 1 4 4 2 0 0 1 4 3 0 4 4 2 1 1 2 2 4 4 0 3 1 3 2 2 3 0 4 1 0 0 3 4 4 2 3 2 1 4 3 0 0 4 3 0 4 0 0 3 1 3 2 4 3 1 1 4 4 4 4 2 3 0 1 3 2 1 0 2 3 4 2 2 2 0 2 2 3 3 3 3 1 2 1 1 4 3 4 2 0 3 1 4 1 0 4 1 0 
2014-11-06 Thu 17:03:02, DSJC125.1.col, HEA(PS=1|GC=100|IC=100000|TB=10), 1415264582, 0.62, 600000, 5, 0, 1 3 1 4 0 1 2 1 0 3 0 1 2 1 4 0 4 2 4 4 4 1 1 0 2 2 2 2 3 1 1 1 1 2 2 1 0 3 1 2 3 3 0 3 3 4 0 2 2 2 0 3 0 0 1 0 4 0 1 1 2 2 4 2 3 3 4 4 0 3 4 0 4 0 0 3 3 4 2 0 1 3 4 1 0 0 2 4 4 4 3 1 0 2 0 4 2 3 1 4 4 2 4 1 2 1 1 1 4 0 1 2 3 1 3 0 1 1 3 4 4 2 3 3 3 
